filename,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,Gender
659.wav,-232.45734,195.21191,-17.71556,42.1819,-23.701199,-3.4832842,1.1352518,-22.295244,25.656431,18.572073,12.273942,4.4010105,3.2012157,12.154797,-8.391297,4.307268,9.354427,-0.22207035,5.558178,-5.644861,160.99715566242827,0.041168212890625,1
6.wav,-267.84482,131.62056,-4.221921,28.636692,-27.492464,-21.154,5.375671,-15.952994,-12.171594,-20.650455,-16.13535,-4.376017,-7.229548,-6.273029,-10.55603,-10.828541,-12.521529,-11.069937,-7.564433,-8.564011,336.86274689158694,0.048828125,0
9.wav,-244.74731,186.38972,-41.32112,18.64166,-15.9725,-14.668863,9.890678,-0.5000913,19.29839,8.807955,12.40918,9.8998,-1.7250391,14.942914,-0.6647414,-5.0377865,5.316933,-3.0380578,3.385241,4.016431,161.92230942316752,0.044647216796875,1
947.wav,-256.81683,200.45737,14.632151,-8.872441,-3.579587,3.9324014,-11.542669,-22.21752,-9.580259,-8.630451,0.19699293,-1.4431882,-6.6951656,-5.4109993,-17.30515,-10.935734,-8.22731,-16.583408,-8.39648,-6.283585,237.3912410961018,0.0377197265625,0
2.wav,-253.88681,199.11996,-26.98123,54.26582,-27.620573,-12.245783,11.155781,-27.92662,10.197683,6.0098085,0.34486556,2.0963502,-4.8850584,9.939819,1.0494838,-1.6148398,2.5830648,-0.98719126,4.460141,2.7069387,84.01111427819184,0.042510986328125,1
965.wav,-262.11243,127.26342,-39.14878,36.06691,15.95309,-12.2437105,-12.766567,-21.446474,-13.4182625,-20.843428,-8.613471,-8.242025,-19.024822,2.978322,-0.21955085,-14.371845,-0.16024613,-0.2518257,-6.844537,4.336106,220.1719328132181,0.06951904296875,1
3.wav,-213.20123,187.63632,-26.267681,54.60126,-4.7363267,-14.917766,-3.7829854,-26.83006,-0.9665446,-14.887428,-9.240915,6.2762804,-6.3522887,-4.679442,-9.872184,-5.9697313,-1.60994,-7.6343145,-7.5870876,-9.615015,180.5050662664385,0.0419921875,1
3.wav,-276.62634,139.46367,-16.07844,19.731356,31.89219,15.881112,-0.36721182,-1.9357617,24.47886,11.326251,-4.544713,9.963894,10.67132,2.752388,-1.7793634,-2.2035904,-0.8211218,-4.4835324,-3.1314218,-3.5277286,171.4670443233661,0.024169921875,1
472.wav,-241.846,186.02289,-44.918243,30.67704,-2.8771071,-28.153357,3.8639145,-9.983629,-5.6836677,-7.8443127,-16.310984,-11.917461,-5.8710437,-0.74392885,-10.595684,-12.908421,-8.112581,-5.313324,-2.0204844,-8.324465,284.7021257500868,0.0406494140625,0
644.wav,-252.51424,130.46393,-58.448357,29.451832,-23.840872,-27.959187,-8.612014,-22.456684,-8.93239,-23.139626,-13.417223,-6.645242,-13.1283655,-8.649516,-9.3310795,-1.9258358,-3.1649814,-6.0307465,-5.8256693,-4.517157,335.46903523439966,0.0794677734375,0
651.wav,-233.12164,158.12936,-40.507454,29.242609,-8.717579,-12.657923,-17.406193,-35.086193,14.862827,15.545969,6.8167686,-0.661844,-0.330315,18.261944,-4.3277245,-0.50056565,6.2021675,-1.1817539,14.291768,-8.907295,210.2086175597227,0.05975341796875,1
795.wav,-213.53928,180.37967,-33.523613,41.86302,-21.02144,-8.568535,18.252302,-44.066437,-16.24651,-6.198176,-12.443142,5.2044744,-12.7718935,-1.4582496,6.6403418,-7.667429,1.6568785,-6.088125,-13.647724,1.5002518,190.67464633859467,0.04217529296875,1
369.wav,-240.53409,192.43365,-2.4644077,24.979738,-14.677221,2.295768,-7.1529803,-22.814854,2.8788614,-12.139399,10.210577,1.3017116,-13.258602,12.534267,-9.111584,-7.0554805,3.805681,-7.4487143,0.9277799,-3.6029181,210.2361863994088,0.03741455078125,1
6.wav,-242.51482,169.6413,-14.570999,66.17635,1.2720844,-0.05036962,24.511423,-21.892666,-5.2828035,-0.3953588,-6.3822923,-11.773426,-19.486893,-0.19849652,-1.0169181,3.9114661,5.4836264,-8.017984,1.2429214,3.0661497,140.02805836871912,0.03179931640625,1
4.wav,-188.63646,161.39308,-33.74768,20.699438,20.301924,14.611731,13.421667,-2.9502537,7.64868,-1.4660107,2.6821692,1.7847564,-7.3580756,11.782692,-1.8531147,-12.198612,6.674847,-3.0290213,-11.385557,-1.9589511,173.48782649420824,0.024169921875,1
3.wav,-213.74728,153.3065,-12.910705,53.130875,3.614565,-18.675362,-5.3350167,-25.678024,-9.336565,-13.770178,-15.148251,-3.195938,-9.631007,-5.0521426,-6.9525533,-6.1133018,-1.2316041,-8.972527,-5.6052084,-2.9212961,216.012117885064,0.04010009765625,1
781.wav,-303.2365,121.58829,-1.5720062,86.407906,11.420128,-21.558903,10.855791,-15.903469,-15.454204,-20.622993,-14.766745,-4.7828503,-21.501343,-3.8854284,-2.5767248,-14.850704,1.9126561,-1.9947236,-7.925323,-3.6817179,237.082107950968,0.0399169921875,1
4.wav,-234.60576,152.66333,-36.69516,51.268444,-9.759428,-13.349479,11.022511,-11.64433,-1.1740716,-12.137747,-5.115647,-0.92342514,-4.780373,0.32807446,-9.959383,-0.49814588,0.108192086,-11.897356,-4.7897377,-0.7448834,231.20587188966448,0.1199951171875,1
349.wav,-224.02911,183.27264,-39.782692,7.1495895,-37.24681,-11.057732,-22.567818,-44.509064,24.443218,3.421073,-19.81837,-7.22746,-14.871613,-18.224712,-20.24212,-6.3624334,-11.708742,-13.745596,-5.423395,-10.185092,309.9016688989637,0.068359375,0
922.wav,-207.09277,180.88239,-16.895771,67.74576,-24.061949,-0.3528587,12.539716,-16.448698,11.777439,-17.061615,-7.139021,-2.6784222,-6.274557,14.760625,5.079398,9.786726,5.8201303,-1.4242605,1.2641356,-4.7084746,173.35843469519713,0.013336181640625,1
4.wav,-311.40552,161.1828,-3.5460997,9.136719,13.95376,-12.449427,-14.300413,-15.963312,-18.473574,-12.836169,15.001765,24.474289,-1.9987648,2.6882915,9.736023,-5.3655453,3.1784048,-7.456948,-29.48934,-7.8780518,151.04278533116076,0.046539306640625,1
8.wav,-243.83185,169.9715,-52.435463,43.202618,4.8128557,-33.164127,-26.38494,-35.434917,-7.5987844,-22.652225,-23.056389,-7.157599,-10.239687,3.9835114,-14.81625,-15.668722,3.6661768,-13.451311,-6.6002245,0.735553,173.42116824731627,0.0511474609375,1
3.wav,-227.88792,147.56155,-12.581001,53.758034,-1.1232103,-13.367408,-9.098082,-20.060951,11.754612,-16.440815,-17.81765,1.4344227,-18.696676,-7.4222784,-6.336169,-14.454405,-3.027979,-5.3350415,-7.023095,-5.781947,262.5224957702178,0.03125,0
297.wav,-92.6685,187.01733,-73.213104,50.29846,-24.134907,15.920389,3.0794387,-22.635607,16.200886,-21.704525,0.0717693,-2.2900457,-5.949667,11.4117565,-7.244234,0.25972545,-4.0075417,-5.924692,1.2061527,-0.9721722,0.0,0.094512939453125,1
904.wav,-276.33072,136.02368,-9.028822,45.6919,-31.30022,-31.189037,-6.52911,-22.977488,-2.0476599,-22.139261,-18.730255,-1.872217,-16.509792,-4.7829676,-2.7241697,-10.82473,-0.49242473,2.449132,-0.203753,1.6398048,380.992975280256,0.05413818359375,0
3.wav,-194.8342,151.91367,-35.22844,34.72987,-10.760515,-0.8096726,3.2915163,-11.1329,21.00925,-8.204912,-3.4852948,8.097118,-2.80473,10.130623,-7.456107,-6.2400265,-0.05113274,-7.3900423,4.202878,-0.7727871,209.0707609260353,0.0780029296875,1
8.wav,-271.48328,150.49294,-2.0073738,59.941967,12.614513,1.4671354,11.037,-28.305767,-12.663141,6.940258,5.0113673,-4.244952,-10.525806,-0.2616841,0.029683113,0.50039184,3.3756557,-0.7141416,-0.93307805,4.9991837,117.0644261424516,0.039276123046875,1
6.wav,-262.88,173.87451,-7.689727,50.802177,1.8327258,-15.721746,6.818426,-24.284641,-12.379165,-3.5302236,-5.448332,-3.8870432,-13.6678705,-4.822973,-5.6243005,-8.239418,-4.9997215,-12.536558,-7.4652205,-7.116776,175.845998512998,0.032318115234375,1
382.wav,-176.19133,146.30386,-45.72067,63.054436,-1.898283,10.264954,-9.041721,-16.722122,14.289677,-7.966438,-1.4352214,-13.864598,-2.8780565,-1.043041,-12.908284,-2.326808,-5.5267525,0.39834058,-9.755174,-4.6498823,167.35990283171486,0.084991455078125,1
2.wav,-221.43149,138.47922,-16.131624,45.158863,3.3793595,1.7204697,11.191964,-15.496977,2.1973457,-4.032051,1.1098773,6.8340693,-4.432568,9.114011,-0.017911196,-5.27396,4.284505,0.12546504,3.0064726,0.037656724,168.38797799489856,0.042266845703125,1
932.wav,-207.62479,163.5097,-1.5863619,72.685165,-13.262827,1.8051246,10.434401,-23.773409,7.252301,-12.475229,-4.4508514,3.6770518,-3.1561108,15.4772835,2.5894377,1.0716676,2.6121094,-2.0660305,4.944709,1.8733094,0.0,0.02276611328125,1
7.wav,-183.0208,153.70232,-45.32161,57.90782,-27.807983,-8.163855,0.7032461,-23.649471,5.8322315,-12.425269,4.038258,-1.796918,-6.8866796,4.3520885,-13.152354,-3.0837977,1.1450471,6.774587,11.1794815,3.7021358,394.51649345221415,0.0672607421875,0
476.wav,-225.18756,162.55495,-35.050636,68.980354,5.804393,-18.525084,9.422344,-10.735786,-0.44050243,-13.795965,-7.437352,3.4013402,-11.477346,-2.0543466,-0.18076396,-2.6659818,-4.1382275,-3.2999816,1.9942061,-6.686475,259.84543386807087,0.049468994140625,0
985.wav,-352.5216,143.43124,55.509857,39.17827,15.916608,-5.747265,-15.553285,-16.706879,10.0668545,20.563845,-7.6618915,-15.694284,8.052921,10.621718,-6.6550827,-4.3606987,-0.8772464,-5.9866066,-0.7478184,-4.275162,0.0,0.045166015625,1
6.wav,-223.73375,173.82416,-36.80017,49.800507,-39.051804,15.038494,14.556864,-24.586699,16.147606,-8.18973,19.360268,5.350649,-11.323676,19.425865,-15.071775,-4.5836935,11.626749,-11.382933,-4.9700923,-3.541036,135.20936007552905,0.067718505859375,1
3.wav,-168.19409,129.00168,-37.048515,65.35506,-45.91163,-10.656647,4.725501,-14.083833,14.501333,-2.85811,4.0901947,-8.553724,-8.808585,2.3604198,-6.241152,-7.1723337,-9.715523,-9.821577,-7.8905315,-3.7749102,0.0,0.149444580078125,1
9.wav,-183.21951,135.08882,-4.3271494,76.99756,-23.870415,13.746095,4.5755787,-11.371866,0.04054737,-21.354855,8.541523,-5.133161,-5.6674457,-2.2904027,-15.407714,-3.6209865,-3.4939303,-6.6943107,-3.9993014,-1.593526,194.07885018578384,0.110321044921875,1
763.wav,-258.9127,164.06876,1.5129452,55.85399,-0.21665752,-29.412169,-9.119513,-23.370777,-16.937666,-14.845234,-4.1895175,0.0011658669,-13.10024,-6.5344996,-1.23259,-1.7271796,-5.6313972,-7.4081697,-5.40044,-7.944249,202.23280359684887,0.046966552734375,1
813.wav,-193.98596,192.53668,-19.231552,35.36181,-12.358651,-3.9763007,20.800064,-26.932796,-5.328142,3.473213,-14.226122,-6.7074294,-6.829959,-6.369971,-7.800251,-6.137085,-6.3276825,-9.388912,-5.8971663,-12.521975,165.5554033495086,0.02471923828125,1
885.wav,-224.15814,172.65247,-62.652683,42.141983,-16.197414,-38.39237,-16.084839,-25.493797,15.040544,1.9014592,-5.3132515,11.586311,-1.927289,-12.142116,-20.338556,-6.887844,-4.2418456,-12.560474,0.7200751,-4.778032,0.0,0.087890625,0
8.wav,-236.28415,174.5852,5.4379654,27.059921,-14.578098,18.840496,20.758007,-13.279448,7.229945,-5.235216,-1.2681557,4.4960995,-4.2056975,0.6002964,-5.152587,-3.0048027,-3.75671,-2.7060742,-5.7480497,-13.09742,191.8038360247777,0.02880859375,1
4.wav,-263.83136,161.05132,0.7377744,87.69987,14.272788,-10.8402405,10.409615,-29.649704,-16.644289,-10.0134325,-14.163093,-5.579111,-7.395368,-6.8766494,-8.110159,-2.5363264,-2.956288,-3.105521,1.9326351,-5.6352654,136.78899343337204,0.042572021484375,1
3.wav,-238.87497,173.04008,-14.119532,21.558672,-33.02848,-17.633015,6.5925903,-32.28965,-1.1729006,0.160501,-9.241833,5.234929,-10.904297,-1.4050939,0.1812433,-11.4116335,0.5999507,-8.777559,-9.036804,1.597631,197.0597923700207,0.05712890625,1
7.wav,-126.50633,179.3634,-78.38683,41.47303,-4.212089,15.086557,6.9552593,-18.004547,19.172855,-16.138992,-7.588442,3.2953598,-6.4503994,6.1249275,-6.7196827,-16.946514,-17.696507,-10.840982,-10.381764,-11.049342,235.6712296856571,0.065887451171875,1
7.wav,-279.95844,140.93451,-5.9837275,26.876953,-21.38335,-17.765646,-2.154149,-42.240555,-14.341885,3.0781841,-19.547123,-16.392366,-3.2901769,3.7082174,-2.1918454,-7.8191185,-3.1201496,-3.165443,-8.906355,-5.018463,198.9344772030707,0.04937744140625,1
268.wav,-241.67175,97.73388,-44.333572,70.130424,-27.374,-27.847553,-11.525182,-34.532303,5.1411567,-20.533064,-11.567108,2.9756794,-13.692141,1.8190304,-2.5910406,-6.420224,-13.391829,-9.995622,6.9514866,12.3403015,407.5198251241593,0.083526611328125,0
257.wav,-244.76184,153.45293,-12.692198,28.452469,-9.883704,-21.009794,-18.383282,-25.734123,8.800354,-8.757676,-22.405636,3.1283326,2.8937783,-14.033932,-19.323006,-3.5042987,-9.311894,-15.53039,-0.5035721,-9.200149,345.15338923065406,0.0618896484375,0
2.wav,-258.15485,170.43433,-5.1651716,51.78031,15.991101,1.0263537,8.665191,-19.017101,0.794749,-1.0520355,-7.8779488,1.8191376,-11.415279,-4.337043,-0.51812315,-12.580313,-7.688286,-3.8779795,-3.1315942,-1.3170879,146.39820426328035,0.026031494140625,1
2.wav,-263.92,118.67967,-26.351833,31.207201,-20.960865,-30.963186,-3.6953335,-28.093626,-21.070648,-6.2840276,-9.1669035,-12.874403,0.21177769,5.329845,-3.6484933,0.5983542,0.18063393,-4.703534,-8.446344,-6.6717796,205.5916703429565,0.05322265625,1
320.wav,-230.46739,124.68982,-24.09749,48.969223,-32.463936,-36.118576,0.0103337765,-15.494021,-1.6519136,-25.973843,-14.9190235,4.9724665,-21.316402,-14.872609,-7.041597,-14.629107,-12.914827,-7.5866494,-4.8193765,0.48100972,389.32030991150725,0.093841552734375,0
197.wav,-259.03378,148.49829,-23.691284,72.28258,-12.867802,-49.885864,4.6386847,-28.022182,-23.944405,-2.889266,-13.493132,-12.48467,-11.149813,-9.597874,-5.614417,-6.2690516,-6.830683,-1.3743455,-5.8145943,-11.273121,292.3266148590315,0.10235595703125,0
119.wav,-273.2122,118.64404,1.9009523,52.08149,-33.098396,-33.230595,-3.4566727,-14.655427,5.119842,-17.324825,-14.619781,8.942518,-14.466253,-20.198006,-3.9810023,-9.126472,-9.813732,-2.0272222,-12.924501,-12.394128,352.1702675536269,0.07464599609375,0
66.wav,-193.57764,187.18575,-28.045845,38.314445,-7.7620993,-0.5488286,8.671348,-12.562212,6.3839083,-1.8404853,4.9230576,-3.1965418,-5.387396,8.60542,-7.820833,0.6042282,2.702333,-7.761217,0.681255,-0.9253628,181.4029107876691,0.03619384765625,1
468.wav,-196.80539,179.81596,-43.379112,74.26193,-3.9123707,6.992833,-2.8568583,-23.490822,16.63013,-17.29901,-1.6481743,-6.6320696,-12.86117,11.930918,-12.321746,-2.717479,4.8677907,-6.9227076,-2.2342758,-0.5801147,149.2366553676532,0.040130615234375,1
2.wav,-168.03293,191.87547,-30.45751,53.878986,-5.793105,-3.2380302,7.863201,-22.190044,5.6097555,-9.907652,-12.047697,-5.613749,-12.747234,-2.113726,-10.249834,-6.88311,-1.2934703,-4.457204,-7.041706,-10.622374,168.80249732138265,0.034759521484375,1
725.wav,-234.38052,155.22635,-22.488789,58.61435,-27.555132,9.668959,-12.196215,-28.76252,9.048307,-36.135323,-14.042683,-17.441292,-17.046797,-0.9262116,-27.475311,0.995582,-0.05042219,-20.311787,2.4304447,3.3524468,162.29352530006184,0.063262939453125,1
7.wav,-187.78242,163.18309,-33.63847,65.04731,-16.820654,-10.967897,22.994139,-35.484047,-15.156156,-2.5402203,-5.492402,-1.9776624,-11.985335,-1.767385,-1.4443924,-4.1855164,-0.25398988,-2.6381629,-1.3821731,-2.552604,212.3607206732981,0.039459228515625,1
205.wav,-218.23651,162.72682,-49.397026,41.513973,-46.179276,-32.544746,-10.627172,-44.694016,-3.1185176,-12.700005,-14.164274,-0.4730886,-9.37718,-9.167814,-11.300913,-0.9627026,-4.0702085,-3.399844,6.737925,-3.637383,236.05120924947173,0.0677490234375,0
9.wav,-277.30664,151.41515,-50.92845,10.967117,-30.664946,-17.227829,-8.115097,-46.546974,-15.10765,7.1647205,-9.360237,-18.540707,4.4881096,-1.7475126,-21.632206,-8.021566,-17.664127,-21.937876,-3.3906803,-3.5296404,246.1063977360483,0.0709228515625,1
978.wav,-170.81667,213.5448,-45.427757,19.199015,-8.517765,-5.4484835,3.4746356,-12.799131,20.760513,4.335188,-7.234098,3.8508253,0.4527179,1.6220024,-6.3696713,-3.7310605,-5.599786,-9.568221,-2.6079028,-4.3804064,322.71870919618937,0.049896240234375,0
4.wav,-284.80536,122.67799,0.42516708,76.95764,3.6266046,-22.331974,0.92788076,-17.42543,-6.042351,-19.656448,-13.728159,6.601989,-8.629234,-4.9986143,-3.8881896,-10.924346,-7.523144,-11.575227,-10.030611,-1.1982999,187.04157340487515,0.08148193359375,1
8.wav,-230.4639,123.934296,-44.021996,55.756424,-6.0820036,-4.079073,5.7308626,-43.068405,-8.074109,-8.390476,-18.250658,-9.683957,-5.944675,8.491682,-9.236467,-6.111452,3.8007379,-9.435715,-1.9290664,-1.8125775,200.76209408559228,0.0697021484375,1
4.wav,-212.34775,135.3038,-43.29352,40.218315,-41.13199,-22.114319,-4.5761223,-19.531729,9.036954,-18.639774,-11.450567,-2.8189762,-9.499657,-3.178793,-12.988833,-12.089622,-7.5824547,2.4719038,12.224494,20.67571,423.0436762109091,0.113861083984375,0
4.wav,-269.60156,200.02597,-13.079102,19.283682,-38.283524,-16.98283,24.198282,-27.704296,-10.212767,-0.61888796,-15.690147,5.2858224,3.6440058,-4.9200706,-11.716088,-13.946588,-4.9674826,-9.601192,-7.147085,-4.422964,184.5021403547296,0.041961669921875,1
644.wav,-199.29971,163.34076,-33.73349,53.68685,-9.494725,-13.761409,-10.54883,-30.087563,9.777334,-5.4387045,0.60977596,4.186459,-3.2974906,10.762779,-14.88056,0.7853478,14.258723,-12.308378,-1.858367,-6.669232,249.79647863878705,0.055267333984375,1
1.wav,-279.82123,189.23595,-1.4259073,-0.72312284,-40.58696,-25.48193,2.6734402,-13.787044,-22.112839,-35.58676,-15.282709,-3.9816403,-15.9279785,-2.8163812,-6.9127445,-13.851846,-4.162123,-10.058375,-15.788466,-8.58473,155.2717292173614,0.04534912109375,1
4.wav,-275.84232,115.476944,-52.918625,51.588078,-38.439068,9.074485,-4.517547,-50.73768,7.1241918,-10.664094,18.705135,17.558588,-7.8602057,10.630005,-10.290606,4.4473176,3.391891,-18.875877,-7.6900396,0.020044208,0.0,0.20526123046875,1
933.wav,-198.79022,171.97392,-32.029533,53.421356,2.3302696,-3.79799,-0.037322998,-21.560158,0.713938,-10.66185,9.45889,14.77461,-1.009069,8.212993,-6.580554,-3.0117261,1.7600701,-3.1888518,0.90210474,-8.326925,250.6039155896304,0.046112060546875,0
878.wav,-147.23044,187.98569,-73.1921,59.614212,-21.245472,-1.0737526,34.393974,-24.834976,4.1723404,-0.8749341,1.6481764,-2.9571536,-20.767555,11.226612,-3.06805,-8.231525,5.930981,-8.061516,5.702347,7.59225,153.01540658410744,0.057464599609375,1
7.wav,-241.9509,154.74045,6.8293657,57.481903,-9.036385,12.295301,-32.704884,-27.145939,19.174095,-22.78996,-6.7751703,-9.811945,6.634058,8.69658,-21.239283,10.374076,-2.8945801,-13.965346,3.393338,-8.68551,198.36090658442137,0.048583984375,1
5.wav,-174.43642,124.8339,-82.45357,69.160965,-16.838356,-2.5295265,-3.3393338,-22.878275,6.2601576,-27.639744,0.9477595,1.969562,-13.332393,-4.02541,-19.211292,-11.123067,-4.413705,1.567146,4.275555,-5.395383,281.78921307720924,0.13824462890625,0
100.wav,-187.52937,145.99278,-51.033356,51.233612,-49.239098,-1.9049475,-20.407677,-44.38781,17.162453,-24.143303,-2.0792017,2.5373821,-15.44098,4.5501947,-14.359322,-17.440693,-16.841835,-17.136078,-13.361626,-16.655773,0.0,0.1573486328125,1
9.wav,-186.42502,177.72975,-17.983694,45.626152,11.762016,-8.574321,12.134833,-5.515925,-6.158304,-7.0834866,-1.8949771,0.8828347,-9.748185,-7.6611586,-5.412552,-3.9837108,-0.4941671,0.090261936,0.76559955,-2.7811208,274.8982896552598,0.03204345703125,1
5.wav,-200.3265,176.15645,-27.063486,58.76726,-22.493738,6.5994177,3.9249938,-27.947056,15.090956,-0.79774797,2.7831059,-5.432533,-5.4411554,12.283464,-6.8743067,-2.4734597,-0.695961,-3.2828865,-0.7094232,-6.5159106,143.44821470318396,0.0828857421875,1
833.wav,-283.17767,133.61331,20.927408,69.40251,-11.055302,-43.79693,-9.185829,-15.761324,-15.448608,-13.230453,-6.2261667,-7.8594713,-13.773756,-7.812402,-8.593357,-8.042444,-10.079964,-4.2783384,-2.880311,-15.402307,342.7112472340812,0.05224609375,0
4.wav,-259.96063,105.87582,21.802582,108.388855,-5.090387,-8.068251,7.2638836,-11.11305,1.1762744,-18.627485,3.0391657,-3.9776943,-12.781134,6.11316,-2.9092987,-0.47048151,-3.0636542,-0.21819608,-0.6148757,-7.453169,188.1113901556245,0.03594970703125,1
3.wav,-311.15863,138.74435,59.069267,66.86804,23.201353,-7.1860123,-3.0210142,-2.8266478,-4.086208,-9.89582,-2.421419,-8.10983,-18.534988,-2.6650407,-5.3515615,-11.16828,-0.86510956,-6.3744,-7.8695226,-1.7499124,160.79597413963555,0.013671875,1
799.wav,-217.1489,169.83682,-45.200897,46.305855,-14.440063,-28.60624,12.382884,-23.16121,-2.5978422,-9.302959,-18.161572,10.908254,-10.355425,-5.2060037,2.315047,-22.460464,-9.031725,-4.304891,-11.147318,-2.1521592,226.33153622762936,0.03839111328125,1
405.wav,-235.06006,148.91716,-12.078365,40.309036,-18.474901,-30.547962,-15.7355385,-30.108196,-1.3417298,-11.765405,-13.583246,3.0915186,-10.368574,-5.4168825,5.4296236,-2.1820421,-13.5369,-6.6173763,3.4896603,2.784152,345.6831937605,0.0523681640625,0
6.wav,-236.55963,195.69556,-18.55766,49.313496,18.052818,-30.381374,-3.5804398,0.73588634,-13.429769,-28.400654,3.2160947,15.377628,-5.326075,17.703472,0.74264145,-16.752205,8.051575,-18.203094,-19.060162,8.421494,140.97351473642777,0.03204345703125,1
8.wav,-218.46254,170.36656,-15.015614,42.10434,-12.972736,3.676929,13.409118,-3.2287817,10.396223,-5.3210554,6.582032,10.038635,2.2186928,6.90275,0.8860204,-1.4501687,-2.0696204,-2.9922965,2.727046,6.5740943,159.7289523026469,0.035430908203125,1
3.wav,-193.18185,172.83334,-106.39679,18.858318,-16.580616,-15.893836,17.462822,-11.794773,8.478893,3.72567,4.7916975,-2.8828378,-16.66382,7.5266314,-5.3005342,-9.801622,2.7854774,-14.056332,-10.499439,4.3303585,209.27220553127083,0.123809814453125,1
6.wav,-236.23099,144.44212,-27.836376,93.07687,-26.160858,-19.240927,-11.270044,-20.894798,-5.1467156,-37.311584,-3.9669135,-13.178247,-10.008143,1.4674466,-26.516626,-2.6889799,-9.565871,-23.228401,-3.1579945,-5.640807,160.70454372696452,0.0736083984375,1
8.wav,-116.160355,174.64442,-58.813255,81.74771,5.4828653,3.9656131,20.937977,-13.965759,16.189491,-10.012821,-6.0226774,6.5712423,-5.2691216,5.9250946,-4.1020255,5.710208,8.419228,-4.349751,6.3454256,4.6031823,71.12807241350062,0.05950927734375,1
